Instance,CCR,Num Nodes,Levels,Branching Factor,Scheduler,Dup Factor,Makespan
0,0.1,4,2,2,HEFT,1,2.6252518077171834
0,0.1,4,2,2,CPoP,1,2.5234928499298777
0,0.1,4,2,2,HEFT,2,2.6252518077171834
0,0.1,4,2,2,CPoP,2,2.5234928499298777
0,0.1,4,2,3,HEFT,1,1.8857879882286976
0,0.1,4,2,3,CPoP,1,1.8614699721027481
0,0.1,4,2,3,HEFT,2,1.8857879882286976
0,0.1,4,2,3,CPoP,2,1.8614699721027481
0,0.1,4,3,2,HEFT,1,1.8519674839836968
0,0.1,4,3,2,CPoP,1,1.814392872216759
0,0.1,4,3,2,HEFT,2,1.8519674839836968
0,0.1,4,3,2,CPoP,2,1.814392872216759
0,0.1,4,3,3,HEFT,1,3.1145015527007245
0,0.1,4,3,3,CPoP,1,2.807097758826769
0,0.1,4,3,3,HEFT,2,3.1145015527007245
0,0.1,4,3,3,CPoP,2,2.807097758826769
0,0.1,8,2,2,HEFT,1,0.6886394384160105
0,0.1,8,2,2,CPoP,1,0.6529076729829033
0,0.1,8,2,2,HEFT,2,0.6886394384160105
0,0.1,8,2,2,CPoP,2,0.6529076729829033
0,0.1,8,2,3,HEFT,1,1.8082268011600438
0,0.1,8,2,3,CPoP,1,1.8082268011600438
0,0.1,8,2,3,HEFT,2,1.8082268011600438
0,0.1,8,2,3,CPoP,2,1.8082268011600438
0,0.1,8,3,2,HEFT,1,2.576323128100366
0,0.1,8,3,2,CPoP,1,2.4901000874961117
0,0.1,8,3,2,HEFT,2,2.576323128100366
0,0.1,8,3,2,CPoP,2,2.4901000874961117
0,0.1,8,3,3,HEFT,1,1.891838371608032
0,0.1,8,3,3,CPoP,1,1.8398485793118629
0,0.1,8,3,3,HEFT,2,1.891838371608032
0,0.1,8,3,3,CPoP,2,1.8398485793118629
0,5.0,4,2,2,HEFT,1,1.90537448260051
0,5.0,4,2,2,CPoP,1,1.90537448260051
0,5.0,4,2,2,HEFT,2,1.90537448260051
0,5.0,4,2,2,CPoP,2,1.90537448260051
0,5.0,4,2,3,HEFT,1,5.227060581741845
0,5.0,4,2,3,CPoP,1,7.25932046085722
0,5.0,4,2,3,HEFT,2,4.30996790335163
0,5.0,4,2,3,CPoP,2,5.613292809584311
0,5.0,4,3,2,HEFT,1,4.962240514600247
0,5.0,4,3,2,CPoP,1,5.0511199630817885
0,5.0,4,3,2,HEFT,2,6.048811431788503
0,5.0,4,3,2,CPoP,2,5.888629296557854
0,5.0,4,3,3,HEFT,1,6.995460827381219
0,5.0,4,3,3,CPoP,1,8.138952584201707
0,5.0,4,3,3,HEFT,2,6.995460827381219
0,5.0,4,3,3,CPoP,2,8.311013277717658
0,5.0,8,2,2,HEFT,1,2.451097712622522
0,5.0,8,2,2,CPoP,1,2.451097712622522
0,5.0,8,2,2,HEFT,2,1.1347865259211467
0,5.0,8,2,2,CPoP,2,2.736044599332119
0,5.0,8,2,3,HEFT,1,3.568579148937936
0,5.0,8,2,3,CPoP,1,3.568579148937936
0,5.0,8,2,3,HEFT,2,3.1387416556727104
0,5.0,8,2,3,CPoP,2,3.568579148937936
0,5.0,8,3,2,HEFT,1,4.945745079813383
0,5.0,8,3,2,CPoP,1,4.945745079813383
0,5.0,8,3,2,HEFT,2,3.4849022461790753
0,5.0,8,3,2,CPoP,2,4.945745079813383
0,5.0,8,3,3,HEFT,1,8.178912074579305
0,5.0,8,3,3,CPoP,1,8.68691123654171
0,5.0,8,3,3,HEFT,2,8.178912074579305
0,5.0,8,3,3,CPoP,2,8.412513356866528
0,10.0,4,2,2,HEFT,1,7.734191979257427
0,10.0,4,2,2,CPoP,1,7.734191979257427
0,10.0,4,2,2,HEFT,2,8.37726983665147
0,10.0,4,2,2,CPoP,2,8.37726983665147
0,10.0,4,2,3,HEFT,1,4.324818244070145
0,10.0,4,2,3,CPoP,1,9.40969717031665
0,10.0,4,2,3,HEFT,2,3.127170584351396
0,10.0,4,2,3,CPoP,2,4.324818244070145
0,10.0,4,3,2,HEFT,1,9.320620228438568
0,10.0,4,3,2,CPoP,1,9.659635516790855
0,10.0,4,3,2,HEFT,2,3.8326911626851974
0,10.0,4,3,2,CPoP,2,3.832691163646116
0,10.0,4,3,3,HEFT,1,13.284578478715698
0,10.0,4,3,3,CPoP,1,10.783574990677046
0,10.0,4,3,3,HEFT,2,11.68336354493093
0,10.0,4,3,3,CPoP,2,14.691420427518896
0,10.0,8,2,2,HEFT,1,1.7889960320499905
0,10.0,8,2,2,CPoP,1,1.7889960320499905
0,10.0,8,2,2,HEFT,2,2.2680128397758024
0,10.0,8,2,2,CPoP,2,2.2680128397758024
0,10.0,8,2,3,HEFT,1,8.072266799589677
0,10.0,8,2,3,CPoP,1,9.054157909619097
0,10.0,8,2,3,HEFT,2,6.581985844279426
0,10.0,8,2,3,CPoP,2,9.166469773908348
