Recipe,Workflow Instance,Network Instance,Num Tasks,Num Processors,Scheduler,Dup Factor,Makespan
montage,0,0,1867,1,HEFT,1,624003.1793117003
montage,0,0,1867,1,CPoP,1,624003.1793117255
montage,0,0,1867,1,HEFT,2,624003.1793117003
montage,0,0,1867,1,CPoP,2,624003.1793117255
montage,0,1,1867,3,HEFT,1,160502.0885916312
montage,0,1,1867,3,CPoP,1,160603.26266750958
montage,0,1,1867,3,HEFT,2,160502.0885916312
montage,0,1,1867,3,CPoP,2,160603.26266750958
montage,0,2,1867,4,HEFT,1,118041.012305522
montage,0,2,1867,4,CPoP,1,118096.91697005066
montage,0,2,1867,4,HEFT,2,118041.012305522
montage,0,2,1867,4,CPoP,2,118096.91697005066
montage,0,3,1867,1,HEFT,1,369493.42818611435
montage,0,3,1867,1,CPoP,1,369493.42818614404
montage,0,3,1867,1,HEFT,2,369493.42818611435
montage,0,3,1867,1,CPoP,2,369493.42818614404
montage,0,4,1867,5,HEFT,1,96978.28321652448
montage,0,4,1867,5,CPoP,1,97067.89500071637
montage,0,4,1867,5,HEFT,2,96978.28321652448
montage,0,4,1867,5,CPoP,2,97067.89500071637
montage,0,5,1867,4,HEFT,1,124543.2420166199
montage,0,5,1867,4,CPoP,1,124610.12777434707
montage,0,5,1867,4,HEFT,2,124543.2420166199
montage,0,5,1867,4,CPoP,2,124610.12777434707
montage,0,6,1867,6,HEFT,1,73789.50890749582
montage,0,6,1867,6,CPoP,1,73862.09492909543
montage,0,6,1867,6,HEFT,2,73789.50890749582
montage,0,6,1867,6,CPoP,2,73862.09492909543
montage,0,7,1867,1,HEFT,1,364331.76964236837
montage,0,7,1867,1,CPoP,1,364331.76964239805
montage,0,7,1867,1,HEFT,2,364331.76964236837
montage,0,7,1867,1,CPoP,2,364331.76964239805
montage,0,8,1867,6,HEFT,1,79011.72822478999
montage,0,8,1867,6,CPoP,1,79099.1565617756
montage,0,8,1867,6,HEFT,2,79011.72822478999
montage,0,8,1867,6,CPoP,2,79099.1565617756
montage,0,9,1867,3,HEFT,1,159967.43013981316
montage,0,9,1867,3,CPoP,1,160073.82231005243
montage,0,9,1867,3,HEFT,2,159967.43013981316
montage,0,9,1867,3,CPoP,2,160073.82231005243
montage,1,0,1554,1,HEFT,1,512458.0562693221
montage,1,0,1554,1,CPoP,1,512458.05626934685
montage,1,0,1554,1,HEFT,2,512458.0562693221
montage,1,0,1554,1,CPoP,2,512458.05626934685
montage,1,1,1554,3,HEFT,1,131813.98908696388
montage,1,1,1554,3,CPoP,1,131879.08489240595
montage,1,1,1554,3,HEFT,2,131813.98908696388
montage,1,1,1554,3,CPoP,2,131879.08489240595
montage,1,2,1554,4,HEFT,1,96942.89655882506
montage,1,2,1554,4,CPoP,1,96981.42766044186
montage,1,2,1554,4,HEFT,2,96942.89655882506
montage,1,2,1554,4,CPoP,2,96981.42766044186
montage,1,3,1554,1,HEFT,1,303443.7808817027
montage,1,3,1554,1,CPoP,1,303443.7808817222
montage,1,3,1554,1,HEFT,2,303443.7808817027
montage,1,3,1554,1,CPoP,2,303443.7808817222
montage,1,4,1554,5,HEFT,1,79695.67894930692
montage,1,4,1554,5,CPoP,1,79733.87011457639
montage,1,4,1554,5,HEFT,2,79695.67894930692
montage,1,4,1554,5,CPoP,2,79733.87011457639
montage,1,5,1554,4,HEFT,1,102317.82518059602
montage,1,5,1554,4,CPoP,1,102401.03342988521
montage,1,5,1554,4,HEFT,2,102317.82518059602
montage,1,5,1554,4,CPoP,2,102401.03342988521
montage,1,6,1554,6,HEFT,1,60637.679289539425
montage,1,6,1554,6,CPoP,1,60660.846222989094
montage,1,6,1554,6,HEFT,2,60637.679289539425
montage,1,6,1554,6,CPoP,2,60660.846222989094
montage,1,7,1554,1,HEFT,1,299204.80647874874
montage,1,7,1554,1,CPoP,1,299204.80647877126
montage,1,7,1554,1,HEFT,2,299204.80647874874
montage,1,7,1554,1,CPoP,2,299204.80647877126
montage,1,8,1554,6,HEFT,1,64933.83181117639
montage,1,8,1554,6,CPoP,1,64961.736094798754
montage,1,8,1554,6,HEFT,2,64933.83181117639
montage,1,8,1554,6,CPoP,2,64961.736094798754
montage,1,9,1554,3,HEFT,1,131420.04278266884
montage,1,9,1554,3,CPoP,1,131380.4333476216
montage,1,9,1554,3,HEFT,2,131420.04278266884
montage,1,9,1554,3,CPoP,2,131380.4333476216
montage,2,0,807,1,HEFT,1,300875.3658022053
montage,2,0,807,1,CPoP,1,300875.36580222705
montage,2,0,807,1,HEFT,2,300875.3658022053
montage,2,0,807,1,CPoP,2,300875.36580222705
montage,2,1,807,3,HEFT,1,77452.61967854934
montage,2,1,807,3,CPoP,1,77531.75553494753
montage,2,1,807,3,HEFT,2,77452.61967854934
montage,2,1,807,3,CPoP,2,77531.75553494753
montage,2,2,807,4,HEFT,1,56939.19057045944
montage,2,2,807,4,CPoP,1,57064.223537272286
montage,2,2,807,4,HEFT,2,56939.19057045944
montage,2,2,807,4,CPoP,2,57064.223537272286
montage,2,3,807,1,HEFT,1,178158.49991284
montage,2,3,807,1,CPoP,1,178158.49991286066
montage,2,3,807,1,HEFT,2,178158.49991284
montage,2,3,807,1,CPoP,2,178158.49991286066
montage,2,4,807,5,HEFT,1,46804.26237220938
montage,2,4,807,5,CPoP,1,46923.09750443862
montage,2,4,807,5,HEFT,2,46804.26237220938
montage,2,4,807,5,CPoP,2,46923.09750443862
montage,2,5,807,4,HEFT,1,60081.08366004935
montage,2,5,807,4,CPoP,1,60186.41002194805
montage,2,5,807,4,HEFT,2,60081.08366004935
montage,2,5,807,4,CPoP,2,60186.41002194805
montage,2,6,807,6,HEFT,1,35608.14596202174
montage,2,6,807,6,CPoP,1,35732.61732745521
montage,2,6,807,6,HEFT,2,35608.14596202174
montage,2,6,807,6,CPoP,2,35732.61732745521
montage,2,7,807,1,HEFT,1,175669.70505730453
montage,2,7,807,1,CPoP,1,175669.7050573253
montage,2,7,807,1,HEFT,2,175669.70505730453
montage,2,7,807,1,CPoP,2,175669.7050573253
montage,2,8,807,6,HEFT,1,38134.46564423673
montage,2,8,807,6,CPoP,1,38257.36981774073
montage,2,8,807,6,HEFT,2,38134.46564423673
montage,2,8,807,6,CPoP,2,38257.36981774073
montage,2,9,807,3,HEFT,1,77175.51515277546
montage,2,9,807,3,CPoP,1,77277.7355995326
montage,2,9,807,3,HEFT,2,77175.51515277546
montage,2,9,807,3,CPoP,2,77277.7355995326
montage,3,0,1397,1,HEFT,1,480624.5130790859
montage,3,0,1397,1,CPoP,1,480624.513079128
