,,,Makespan,Makespan,Makespan,Makespan,Makespan
,,,mean,std,min,max,count
Scheduler,Dup Factor,CCR,,,,,
CPoP,1,0.1,2.15,0.64,0.51,3.97,399
CPoP,1,5.0,5.07,2.12,0.42,10.39,400
CPoP,1,10.0,8.15,3.55,0.88,17.42,400
CPoP,2,0.1,2.15,0.64,0.51,3.97,399
CPoP,2,5.0,4.51,2.37,0.39,9.76,400
CPoP,2,10.0,5.82,3.95,0.79,18.13,400
HEFT,1,0.1,2.18,0.64,0.51,3.69,399
HEFT,1,5.0,4.79,2.09,0.42,10.66,400
HEFT,1,10.0,7.48,3.24,0.88,16.9,399
HEFT,2,0.1,2.18,0.64,0.51,3.69,399
HEFT,2,5.0,4.08,2.16,0.39,10.0,400
HEFT,2,10.0,5.06,3.23,0.79,14.31,397
