experiment_num,scheduler_name,mode,n,duplicated_tasks,makespan
0,heft,top-n,0,,4.001907951118696
0,heft,top-n,1,0,3.9297270008347205
0,heft,top-n,2,"0,2",4.200760964434076
0,heft,top-n,3,"0,2,1",4.596492626638936
0,heft,top-n,4,"0,2,1,3",5.054581090518321
0,heft,top-n,5,"0,2,1,3,6",4.864783181922469
0,heft,bottom-n,0,,4.001907951118696
0,heft,bottom-n,1,7,4.359973746107281
0,heft,bottom-n,2,"7,5",4.569293020021349
0,heft,bottom-n,3,"7,5,4",4.569293020021349
0,heft,bottom-n,4,"7,5,4,6",4.569293020021349
0,heft,bottom-n,5,"7,5,4,6,3",5.278859306688758
0,cpop,top-n,0,,4.026321622335986
0,cpop,top-n,1,0,4.026321622335986
0,cpop,top-n,2,"0,2",4.026321622335986
0,cpop,top-n,3,"0,2,1",4.36561395368388
0,cpop,top-n,4,"0,2,1,3",6.233612973548759
0,cpop,top-n,5,"0,2,1,3,6",5.078412468263959
0,cpop,bottom-n,0,,4.026321622335986
0,cpop,bottom-n,1,7,4.569293020021349
0,cpop,bottom-n,2,"7,5",5.278859306688758
0,cpop,bottom-n,3,"7,5,4",5.278859306688758
0,cpop,bottom-n,4,"7,5,4,6",5.137925764991396
0,cpop,bottom-n,5,"7,5,4,6,3",5.96880151349894
1,heft,top-n,0,,5.475669732013162
1,heft,top-n,1,0,5.475669732013162
1,heft,top-n,2,"0,2",6.313232325580066
1,heft,top-n,3,"0,2,4",6.262235894757308
1,heft,top-n,4,"0,2,4,3",6.313232325580066
1,heft,top-n,5,"0,2,4,3,1",6.24388026418044
1,heft,bottom-n,0,,5.475669732013162
1,heft,bottom-n,1,7,6.262235894757308
1,heft,bottom-n,2,"7,5",6.4938542025628365
1,heft,bottom-n,3,"7,5,6",6.762080310539147
1,heft,bottom-n,4,"7,5,6,1",7.221293602486079
1,heft,bottom-n,5,"7,5,6,1,3",8.102215551617757
1,cpop,top-n,0,,6.521595088655515
1,cpop,top-n,1,0,6.521595088655515
1,cpop,top-n,2,"0,2",6.521595088655515
1,cpop,top-n,3,"0,2,4",6.521595088655515
1,cpop,top-n,4,"0,2,4,3",6.565605366166857
1,cpop,top-n,5,"0,2,4,3,1",6.642835148226114
1,cpop,bottom-n,0,,6.521595088655515
1,cpop,bottom-n,1,7,6.570403681496388
1,cpop,bottom-n,2,"7,5",7.35915768222242
1,cpop,bottom-n,3,"7,5,6",7.71072045170165
1,cpop,bottom-n,4,"7,5,6,1",7.71072045170165
1,cpop,bottom-n,5,"7,5,6,1,3",8.377927647220188
2,heft,top-n,0,,3.73626085314194
2,heft,top-n,1,0,3.0747550319709944
2,heft,top-n,2,"0,4",3.1773202801935456
2,heft,top-n,3,"0,4,2",3.995689682121145
2,heft,top-n,4,"0,4,2,1",3.9524844338926566
2,heft,top-n,5,"0,4,2,1,5",3.914773225808432
2,heft,bottom-n,0,,3.73626085314194
2,heft,bottom-n,1,7,3.9753048203444603
2,heft,bottom-n,2,"7,6",3.9753048203444603
2,heft,bottom-n,3,"7,6,3",3.9753048203444603
2,heft,bottom-n,4,"7,6,3,5",4.058825694391345
2,heft,bottom-n,5,"7,6,3,5,1",4.454302269558062
2,cpop,top-n,0,,3.73626085314194
2,cpop,top-n,1,0,3.73626085314194
2,cpop,top-n,2,"0,4",3.8224724730749546
2,cpop,top-n,3,"0,4,2",3.6698324187029603
2,cpop,top-n,4,"0,4,2,1",4.226247310745672
2,cpop,top-n,5,"0,4,2,1,5",3.9079332833733096
2,cpop,bottom-n,0,,3.73626085314194
2,cpop,bottom-n,1,7,3.9753048203444603
2,cpop,bottom-n,2,"7,6",3.9753048203444603
2,cpop,bottom-n,3,"7,6,3",3.9753048203444603
2,cpop,bottom-n,4,"7,6,3,5",4.058825694391345
2,cpop,bottom-n,5,"7,6,3,5,1",4.543389919379744
3,heft,top-n,0,,5.213824603628022
3,heft,top-n,1,0,5.212513976414071
3,heft,top-n,2,"0,5",4.8736755124350175
3,heft,top-n,3,"0,5,2",5.0910208077255765
3,heft,top-n,4,"0,5,2,1",5.0910208077255765
3,heft,top-n,5,"0,5,2,1,4",5.6100814494009645
3,heft,bottom-n,0,,5.213824603628022
3,heft,bottom-n,1,7,5.278682782260059
3,heft,bottom-n,2,"7,6",5.278682782260059
3,heft,bottom-n,3,"7,6,3",5.278682782260059
3,heft,bottom-n,4,"7,6,3,4",5.213824603628022
3,heft,bottom-n,5,"7,6,3,4,1",5.253895784913799
3,cpop,top-n,0,,5.278682782260059
3,cpop,top-n,1,0,5.278682782260059
3,cpop,top-n,2,"0,5",4.939844318281006
3,cpop,top-n,3,"0,5,2",5.1734562606882575
3,cpop,top-n,4,"0,5,2,1",5.362044250863158
3,cpop,top-n,5,"0,5,2,1,4",5.610081454388661
3,cpop,bottom-n,0,,5.278682782260059
3,cpop,bottom-n,1,7,5.4122953692116855
3,cpop,bottom-n,2,"7,6",5.4122953692116855
3,cpop,bottom-n,3,"7,6,3",5.400994554925855
3,cpop,bottom-n,4,"7,6,3,4",5.213824603628022
3,cpop,bottom-n,5,"7,6,3,4,1",5.310857458780182
4,heft,top-n,0,,5.933867476251601
4,heft,top-n,1,0,5.933867476251601
4,heft,top-n,2,"0,2",5.933867476251601
4,heft,top-n,3,"0,2,3",5.892368972918896
4,heft,top-n,4,"0,2,3,1",6.032855476860132
4,heft,top-n,5,"0,2,3,1,5",6.032855476860132
4,heft,bottom-n,0,,5.933867476251601
4,heft,bottom-n,1,7,7.325709934927828
4,heft,bottom-n,2,"7,4",7.325709934927828
4,heft,bottom-n,3,"7,4,6",7.477323983958784
4,heft,bottom-n,4,"7,4,6,5",7.024811743367771
4,heft,bottom-n,5,"7,4,6,5,1",7.279125733596132
4,cpop,top-n,0,,5.933867476251601
4,cpop,top-n,1,0,5.933867476251601
4,cpop,top-n,2,"0,2",5.933867476251601
4,cpop,top-n,3,"0,2,3",5.892368972918896
4,cpop,top-n,4,"0,2,3,1",6.406045316917064
4,cpop,top-n,5,"0,2,3,1,5",6.406045316917064
4,cpop,bottom-n,0,,5.933867476251601
4,cpop,bottom-n,1,7,7.325709934927828
4,cpop,bottom-n,2,"7,4",7.325709934927828
4,cpop,bottom-n,3,"7,4,6",6.616834523070513
4,cpop,bottom-n,4,"7,4,6,5",6.233059215013916
4,cpop,bottom-n,5,"7,4,6,5,1",6.666497354652069
5,heft,top-n,0,,4.408960272953093
5,heft,top-n,1,0,3.9471840302347756
5,heft,top-n,2,"0,5",3.9471840302347756
5,heft,top-n,3,"0,5,1",4.3851233674986965
5,heft,top-n,4,"0,5,1,3",4.633275081668137
5,heft,top-n,5,"0,5,1,3,2",4.653442420449179
5,heft,bottom-n,0,,4.408960272953093
5,heft,bottom-n,1,7,4.592293031949136
5,heft,bottom-n,2,"7,4",4.592293031949136
5,heft,bottom-n,3,"7,4,6",4.408960272953093
5,heft,bottom-n,4,"7,4,6,2",4.889802397773192
5,heft,bottom-n,5,"7,4,6,2,3",5.170022263896592
5,cpop,top-n,0,,4.1293941356233645
5,cpop,top-n,1,0,4.1293941356233645
5,cpop,top-n,2,"0,5",4.1293941356233645
5,cpop,top-n,3,"0,5,1",4.830135469805694
5,cpop,top-n,4,"0,5,1,3",4.3849179442785795
5,cpop,top-n,5,"0,5,1,3,2",4.3849179442785795
5,cpop,bottom-n,0,,4.1293941356233645
5,cpop,bottom-n,1,7,5.0305872813037595
5,cpop,bottom-n,2,"7,4",5.177747814708255
5,cpop,bottom-n,3,"7,4,6",5.197274301198669
5,cpop,bottom-n,4,"7,4,6,2",5.177747814708255
5,cpop,bottom-n,5,"7,4,6,2,3",5.366850613318689
6,heft,top-n,0,,2.3738480848464634
6,heft,top-n,1,0,2.2060927286631937
6,heft,top-n,2,"0,2",2.4653596829798343
6,heft,top-n,3,"0,2,3",2.597907689079813
6,heft,top-n,4,"0,2,3,5",2.597907689079813
6,heft,top-n,5,"0,2,3,5,1",2.4537775329441063
6,heft,bottom-n,0,,2.3738480848464634
6,heft,bottom-n,1,7,2.4879509556853074
6,heft,bottom-n,2,"7,4",2.834707331828087
6,heft,bottom-n,3,"7,4,6",2.911736337610295
6,heft,bottom-n,4,"7,4,6,1",3.248419464130843
6,heft,bottom-n,5,"7,4,6,1,5",3.248419464130843
