heuristic,network,ctg_id,branch,branch_path_probability,num_tasks_ctg,num_tasks_branch,ctg_overlapping_makespan,branch_ctg_makespan,branch_standalone_makespan,branch_gap,branch_ratio_standalone_over_ctg
HEFT,3node_hetero,0,Path: 4,0.80525,8,7,1.3782,1.3782,1.3782,0.0,1.0
HEFT,3node_hetero,0,Path: 3,0.19475,8,7,1.3782,1.3616,1.3616,0.0,1.0
HEFT,3node_hetero,1,Path: 2,0.287499,8,5,1.8014,1.8014,1.8014,0.0,1.0
HEFT,3node_hetero,1,Path: 1-4,0.349383,8,4,1.8014,1.2257,1.2257,0.0,1.0
HEFT,3node_hetero,1,Path: 1-3,0.363117,8,4,1.8014,1.2996,1.2996,0.0,1.0
HEFT,2node_homo,0,Path: 4,0.80525,8,7,2.4618,2.3995,2.3995,0.0,1.0
HEFT,2node_homo,0,Path: 3,0.19475,8,7,2.4618,2.4618,2.4618,0.0,1.0
HEFT,2node_homo,1,Path: 2,0.287499,8,5,3.6486,3.6486,3.6486,0.0,1.0
HEFT,2node_homo,1,Path: 1-4,0.349383,8,4,3.6486,2.7888,2.4515,0.3373,0.879
HEFT,2node_homo,1,Path: 1-3,0.363117,8,4,3.6486,2.7498,2.5993,0.1505,0.9453
CPOP,3node_hetero,0,Path: 4,0.80525,8,7,1.7235,1.6446,1.6446,0.0,1.0
CPOP,3node_hetero,0,Path: 3,0.19475,8,7,1.7235,1.7235,1.7235,0.0,1.0
CPOP,3node_hetero,1,Path: 2,0.287499,8,5,2.2999,2.2999,2.2999,0.0,1.0
CPOP,3node_hetero,1,Path: 1-4,0.349383,8,4,2.2999,1.699,1.2257,0.4732,0.7215
CPOP,3node_hetero,1,Path: 1-3,0.363117,8,4,2.2999,1.586,1.2996,0.2864,0.8194
CPOP,2node_homo,0,Path: 4,0.80525,8,7,2.4618,2.3995,2.3995,0.0,1.0
CPOP,2node_homo,0,Path: 3,0.19475,8,7,2.4618,2.4618,2.4618,0.0,1.0
CPOP,2node_homo,1,Path: 2,0.287499,8,5,3.6486,3.6486,3.6486,0.0,1.0
CPOP,2node_homo,1,Path: 1-4,0.349383,8,4,3.6486,2.7888,2.4515,0.3373,0.879
CPOP,2node_homo,1,Path: 1-3,0.363117,8,4,3.6486,2.7498,2.5993,0.1505,0.9453
