heuristic,network,ctg_id,trace,trace_probability,num_tasks_ctg,num_tasks_trace,ctg_overlapping_makespan,trace_ctg_makespan,trace_standalone_makespan,trace_gap,trace_ratio_standalone_over_ctg
HEFT,3node_hetero,0,Trace: 6-30-19-22,0.021733,32,22,4.5277,5.355,4.2089,1.1461,0.786
HEFT,3node_hetero,0,Trace: 6-30-19-21,0.035277,32,22,4.5277,5.355,4.2089,1.1461,0.786
HEFT,3node_hetero,0,Trace: 6-30-20-22,0.038159,32,22,4.5277,5.355,4.2655,1.0895,0.7965
HEFT,3node_hetero,0,Trace: 6-30-20-21,0.061941,32,22,4.5277,5.355,4.1051,1.2499,0.7666
HEFT,3node_hetero,0,Trace: 6-29-19-22,0.067653,32,22,4.5277,5.1963,4.1769,1.0194,0.8038
HEFT,3node_hetero,0,Trace: 6-29-19-21,0.109816,32,22,4.5277,5.5683,4.0511,1.5172,0.7275
HEFT,3node_hetero,0,Trace: 6-29-20-22,0.118789,32,22,4.5277,5.0481,4.1155,0.9326,0.8153
HEFT,3node_hetero,0,Trace: 6-29-20-21,0.19282,32,22,4.5277,5.4201,3.9116,1.5085,0.7217
HEFT,3node_hetero,0,Trace: 5-26-19-22,0.02456,32,22,4.5277,4.8884,4.1668,0.7216,0.8524
HEFT,3node_hetero,0,Trace: 5-26-19-21,0.039867,32,22,4.5277,4.8884,4.1769,0.7115,0.8544
HEFT,3node_hetero,0,Trace: 5-26-20-22,0.043124,32,22,4.5277,4.8884,4.082,0.8064,0.835
HEFT,3node_hetero,0,Trace: 5-26-20-21,0.07,32,22,4.5277,4.8884,4.0789,0.8095,0.8344
HEFT,3node_hetero,0,Trace: 5-25-19-22,0.024382,32,22,4.5277,5.3329,4.1292,1.2037,0.7743
HEFT,3node_hetero,0,Trace: 5-25-19-21,0.039577,32,22,4.5277,5.3329,4.1769,1.156,0.7832
HEFT,3node_hetero,0,Trace: 5-25-20-22,0.042811,32,22,4.5277,5.3329,4.1769,1.156,0.7832
HEFT,3node_hetero,0,Trace: 5-25-20-21,0.069491,32,22,4.5277,5.3329,4.0575,1.2754,0.7608
HEFT,3node_hetero,1,Trace: 1-3,0.261309,8,4,0.9902,0.7289,0.7289,0.0,1.0
HEFT,3node_hetero,1,Trace: 1-4,0.196688,8,4,0.9902,0.9177,0.9177,0.0,1.0
HEFT,3node_hetero,1,Trace: 2-6,0.54175,8,4,0.9902,0.9902,0.9902,0.0,1.0
HEFT,3node_hetero,1,Trace: 2-5,0.000253,8,4,0.9902,0.8416,0.8416,0.0,1.0
HEFT,3node_hetero,2,Trace: 1,0.552991,8,5,1.2596,1.2596,1.2596,0.0,1.0
HEFT,3node_hetero,2,Trace: 2-6,0.153858,8,4,1.2596,0.939,0.939,0.0,1.0
HEFT,3node_hetero,2,Trace: 2-5,0.293151,8,4,1.2596,1.116,1.116,0.0,1.0
