Branch,Regime,Workflow,CCR,Instance,Seed,Scheduler,Throughput,Makespan,RescheduleCount
riotbench,deterministic,etl,0.2,etl_2,0,HEFT_static,3258.4942501995415,0.00047044351248174126,0
riotbench,deterministic,etl,0.2,etl_2,0,CPoP_static,3258.4942501995415,0.00047044351248174126,0
riotbench,deterministic,etl,0.2,etl_2,0,HEFT-Tp_static,3366.9897243046867,0.0004801955926094281,0
riotbench,deterministic,etl,0.2,etl_2,0,CPoP-Tp_static,3366.9897243046867,0.0004801955926094281,0
riotbench,deterministic,etl,0.2,etl_2,0,FastestNode,3258.4942501995415,0.0004814925178105214,0
riotbench,deterministic,etl,0.2,etl_2,0,MaxTP,3366.9897243046867,0.0004801955926094281,0
riotbench,deterministic,etl,0.2,etl_0,0,HEFT_static,9228.78121067253,0.00020774913310036056,0
riotbench,deterministic,etl,0.2,etl_0,0,CPoP_static,9228.78121067253,0.00020774913310036056,0
riotbench,deterministic,etl,0.2,etl_0,0,HEFT-Tp_static,9614.84515895773,0.0002672124902054625,0
riotbench,deterministic,etl,0.2,etl_0,0,CPoP-Tp_static,9614.84515895773,0.0002672124902054625,0
riotbench,deterministic,etl,0.2,etl_0,0,FastestNode,9228.781210672529,0.0002217926742434247,0
riotbench,deterministic,etl,0.2,etl_0,0,MaxTP,9614.84515895773,0.0002672124902054625,0
riotbench,deterministic,etl,0.2,etl_1,0,HEFT_static,5108.569269053604,0.00031577640106386976,0
riotbench,deterministic,etl,0.2,etl_1,0,CPoP_static,5108.569269053604,0.00031577640106386976,0
riotbench,deterministic,etl,0.2,etl_1,0,HEFT-Tp_static,5545.200765132535,0.00045608112633695836,0
riotbench,deterministic,etl,0.2,etl_1,0,CPoP-Tp_static,5545.200765132535,0.00045608112633695836,0
riotbench,deterministic,etl,0.2,etl_1,0,FastestNode,5108.569269053604,0.00032290780677402296,0
riotbench,deterministic,etl,0.2,etl_1,0,MaxTP,5545.200765132535,0.00045608112633695836,0
riotbench,deterministic,etl,0.2,etl_3,0,HEFT_static,494.9570474954404,0.0025999153417467363,0
riotbench,deterministic,etl,0.2,etl_3,0,CPoP_static,494.9570474954404,0.0025999153417467363,0
riotbench,deterministic,etl,0.2,etl_3,0,HEFT-Tp_static,2764.8097923050113,0.0010802433799899894,0
riotbench,deterministic,etl,0.2,etl_3,0,CPoP-Tp_static,2764.8097923050113,0.0010802433799899894,0
riotbench,deterministic,etl,0.2,etl_3,0,FastestNode,2065.885612069095,0.0007574253510357066,0
riotbench,deterministic,etl,0.2,etl_3,0,MaxTP,2764.8097923050113,0.0010802433799899894,0
riotbench,deterministic,etl,0.2,etl_4,0,HEFT_static,3565.310806135503,0.00041533742484247326,0
riotbench,deterministic,etl,0.2,etl_4,0,CPoP_static,3565.310806135503,0.00041533742484247326,0
riotbench,deterministic,etl,0.2,etl_4,0,HEFT-Tp_static,4046.586764266123,0.0005190654550183043,0
riotbench,deterministic,etl,0.2,etl_4,0,CPoP-Tp_static,4046.586764266123,0.0005190654550183043,0
riotbench,deterministic,etl,0.2,etl_4,0,FastestNode,3565.310806135503,0.00042153265076630436,0
riotbench,deterministic,etl,0.2,etl_4,0,MaxTP,4046.586764266123,0.0005190654550183043,0
riotbench,deterministic,etl,0.2,etl_5,0,HEFT_static,1114.4476501442382,0.0013685321690184275,0
riotbench,deterministic,etl,0.2,etl_5,0,CPoP_static,1114.4476501442382,0.0013685321690184275,0
riotbench,deterministic,etl,0.2,etl_5,0,HEFT-Tp_static,4107.490237067923,0.0009075496026328977,0
riotbench,deterministic,etl,0.2,etl_5,0,CPoP-Tp_static,4107.490237067923,0.0009075496026328977,0
riotbench,deterministic,etl,0.2,etl_5,0,FastestNode,3219.3728298760143,0.0005109563257032048,0
riotbench,deterministic,etl,0.2,etl_5,0,MaxTP,4107.490237067923,0.0009075496026328977,0
riotbench,deterministic,etl,0.2,etl_6,0,HEFT_static,4617.595214606474,0.000331684227497018,0
riotbench,deterministic,etl,0.2,etl_6,0,CPoP_static,4617.595214606474,0.000331684227497018,0
riotbench,deterministic,etl,0.2,etl_6,0,HEFT-Tp_static,4748.1800536097235,0.00047260093761284375,0
riotbench,deterministic,etl,0.2,etl_6,0,CPoP-Tp_static,4748.1800536097235,0.00047260093761284375,0
riotbench,deterministic,etl,0.2,etl_6,0,FastestNode,4617.595214606473,0.0003390248380827835,0
riotbench,deterministic,etl,0.2,etl_6,0,MaxTP,4748.1800536097235,0.00047260093761284375,0
riotbench,deterministic,etl,0.2,etl_7,0,HEFT_static,4908.660168164258,0.00029694250415553434,0
riotbench,deterministic,etl,0.2,etl_7,0,CPoP_static,4908.660168164258,0.00029694250415553434,0
riotbench,deterministic,etl,0.2,etl_7,0,HEFT-Tp_static,5085.3361244988955,0.0003802808089655834,0
riotbench,deterministic,etl,0.2,etl_7,0,CPoP-Tp_static,5085.3361244988955,0.0003802808089655834,0
riotbench,deterministic,etl,0.2,etl_7,0,FastestNode,4908.660168164258,0.00030449334856968714,0
riotbench,deterministic,etl,0.2,etl_7,0,MaxTP,5085.3361244988955,0.0003802808089655834,0
riotbench,deterministic,etl,0.2,etl_8,0,HEFT_static,927.0799713993199,0.0016689071080027672,0
riotbench,deterministic,etl,0.2,etl_8,0,CPoP_static,927.0799713993199,0.0016689071080027672,0
riotbench,deterministic,etl,0.2,etl_8,0,HEFT-Tp_static,810.611436967327,0.0020433856199467146,0
riotbench,deterministic,etl,0.2,etl_8,0,CPoP-Tp_static,810.611436967327,0.0020433856199467146,0
riotbench,deterministic,etl,0.2,etl_8,0,FastestNode,2211.202626062138,0.0007064890010205445,0
riotbench,deterministic,etl,0.2,etl_8,0,MaxTP,810.611436967327,0.0020433856199467146,0
riotbench,deterministic,etl,0.2,etl_10,0,HEFT_static,4760.787581761305,0.00033894955416721554,0
riotbench,deterministic,etl,0.2,etl_10,0,CPoP_static,4760.787581761305,0.00033894955416721554,0
riotbench,deterministic,etl,0.2,etl_10,0,HEFT-Tp_static,4976.901348967534,0.0004722844477014632,0
riotbench,deterministic,etl,0.2,etl_10,0,CPoP-Tp_static,4976.901348967534,0.0004722844477014632,0
riotbench,deterministic,etl,0.2,etl_10,0,FastestNode,4760.787581761305,0.00033894955416721554,0
riotbench,deterministic,etl,0.2,etl_10,0,MaxTP,4976.901348967534,0.0004722844477014632,0
riotbench,deterministic,etl,0.2,etl_9,0,HEFT_static,3402.7011545709793,0.00045197892125264824,0
riotbench,deterministic,etl,0.2,etl_9,0,CPoP_static,3402.7011545709793,0.00045197892125264824,0
riotbench,deterministic,etl,0.2,etl_9,0,HEFT-Tp_static,3402.7011545709793,0.00046727422640178447,0
riotbench,deterministic,etl,0.2,etl_9,0,CPoP-Tp_static,3402.7011545709793,0.00046727422640178447,0
riotbench,deterministic,etl,0.2,etl_9,0,FastestNode,3314.6651694866423,0.0004603282137269194,0
riotbench,deterministic,etl,0.2,etl_9,0,MaxTP,3402.7011545709793,0.00046727422640178447,0
riotbench,deterministic,etl,0.2,etl_11,0,HEFT_static,6152.826180399199,0.00028350856665448204,0
riotbench,deterministic,etl,0.2,etl_11,0,CPoP_static,6152.826180399199,0.00028350856665448204,0
riotbench,deterministic,etl,0.2,etl_11,0,HEFT-Tp_static,6152.826180399199,0.00031024021351843523,0
riotbench,deterministic,etl,0.2,etl_11,0,CPoP-Tp_static,6152.826180399199,0.00031024021351843523,0
