Branch,Regime,Workflow,CCR,Instance,Seed,Scheduler,Throughput,Makespan,RescheduleCount
wfcommons,deterministic,epigenomics,0.2,epigenomics_3,0,HEFT_static,0.0006965685259865,1448.636776212849,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_3,0,CPoP_static,0.0006915082160092,1458.237726278244,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_3,0,HEFT-Tp_static,0.0010389821668643,1951.5192411885373,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_3,0,CPoP-Tp_static,0.0010361059595245,1830.9550615012736,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_3,0,FastestNode,0.0004544456765759,2200.483031408424,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_3,0,MaxTP,0.0010502427761798,1866.442573248924,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_2,0,HEFT_static,0.0003283755223231,3047.153037269896,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_2,0,CPoP_static,0.0003300456320537,3066.983100612272,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_2,0,HEFT-Tp_static,0.0003345796649638,3077.1535247148727,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_2,0,CPoP-Tp_static,0.0003325268970121,3109.3705110313495,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_2,0,FastestNode,0.0001888798648525,5294.370581962212,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_2,0,MaxTP,0.0003337961698993,3121.2591531066146,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_1,0,HEFT_static,0.0004557682973669,2197.6467216579667,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_1,0,CPoP_static,0.0004518395160174,2213.6587138981768,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_1,0,HEFT-Tp_static,0.000458325496543,2222.3163400706208,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_1,0,CPoP-Tp_static,0.0004585453732601,2261.5598936617284,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_1,0,FastestNode,0.0001961280558955,5098.709592741387,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_1,0,MaxTP,0.0004584524014585,2249.992375592231,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_0,0,HEFT_static,0.0003246656345551,3104.285308682592,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_0,0,CPoP_static,0.0003257010102548,3107.6249114306825,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_0,0,HEFT-Tp_static,0.0003305659772176,3128.3326537329926,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_0,0,CPoP-Tp_static,0.0003298709951206,3162.945688253836,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_0,0,FastestNode,0.0001375521422514,7269.970380923933,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_0,0,MaxTP,0.0003307736214603,3207.1265062350917,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_5,0,HEFT_static,0.0003429972603313,2915.580996907343,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_5,0,CPoP_static,0.000342306747322,2927.2106900450967,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_5,0,HEFT-Tp_static,0.0003462863774311,2947.16144824781,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_5,0,CPoP-Tp_static,0.0003466282092877,2941.622357989117,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_5,0,FastestNode,0.0001811189026409,5521.234865158397,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_5,0,MaxTP,0.0003468427115097,2961.2854553661355,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_7,0,HEFT_static,0.0004567998924489,2233.2892241771465,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_7,0,CPoP_static,0.0004552441855827,2232.4031399943074,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_7,0,HEFT-Tp_static,0.0006068346675132,2850.8614207657797,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_7,0,CPoP-Tp_static,0.0006063374240457,2887.23318393977,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_7,0,FastestNode,0.0003445316573701,2902.4908991961893,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_7,0,MaxTP,0.0006062338388414,2887.9711981580726,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_6,0,HEFT_static,0.0005638862141248,1793.021729143588,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_6,0,CPoP_static,0.0005602139655268,1795.442943039022,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_6,0,HEFT-Tp_static,0.0007370763397749,2060.918434738533,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_6,0,CPoP-Tp_static,0.0007381729402223,2064.8578439543458,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_6,0,FastestNode,0.0002875331462159,3477.8599029778634,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_6,0,MaxTP,0.0007326828333104,2101.676033610055,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_10,0,HEFT_static,0.0006334397402482,1580.657539505569,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_10,0,CPoP_static,0.000634295579921,1585.494292740291,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_10,0,HEFT-Tp_static,0.001052919583788,2371.6970894533083,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_10,0,CPoP-Tp_static,0.001052919583788,2153.3742098379157,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_10,0,FastestNode,0.0004276805938789,2338.1935358170053,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_10,0,MaxTP,0.001052919583788,2265.4461184660313,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,HEFT_static,0.0005630588163914,1790.974060257867,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,CPoP_static,0.0005644861785075,1804.5349732353843,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,HEFT-Tp_static,0.0006075401584623,2514.0724573056054,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,CPoP-Tp_static,0.0006087740116521,2530.2174572566905,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,FastestNode,0.0001268338044325,7884.333395774385,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,MaxTP,0.0006106102372902,2637.8036607030285,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,HEFT_static,0.0002603131990014,3841.5262992326634,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,CPoP_static,0.0002607733669303,3838.865891987959,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,HEFT-Tp_static,0.0003091504785159,4449.159498451637,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,CPoP-Tp_static,0.0003086791854642,4472.681542434044,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,FastestNode,0.0001623251165472,6160.47609434492,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,MaxTP,0.0003088513908051,4446.362544116765,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,HEFT_static,0.0004373082352921,2295.7234592045997,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,CPoP_static,0.0004385783976197,2318.15886855236,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,HEFT-Tp_static,0.0004543844870303,2332.6923228679625,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,CPoP-Tp_static,0.000451934769421,2397.8616072315313,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,FastestNode,0.0001718259230881,5819.843606995273,0
